﻿RegionID,RegionName,SizeRank,Date,Tier,ZHVI,YoY
"102,001",United States,0,1/31/15,Median Home Values,"$172,300 ",0.048053528
"102,001",United States,0,2/28/15,Median Home Values,"$173,000 ",0.048484848
"102,001",United States,0,3/31/15,Median Home Values,"$173,700 ",0.048280024
"102,001",United States,0,4/30/15,Median Home Values,"$174,500 ",0.048048048
"102,001",United States,0,5/31/15,Median Home Values,"$175,500 ",0.049013748
"102,001",United States,0,6/30/15,Median Home Values,"$176,500 ",0.051220965
"102,001",United States,0,7/31/15,Median Home Values,"$177,500 ",0.052163604
"102,001",United States,0,8/31/15,Median Home Values,"$178,100 ",0.050737463
"102,001",United States,0,9/30/15,Median Home Values,"$178,800 ",0.051146384
"102,001",United States,0,10/31/15,Median Home Values,"$179,500 ",0.052168816
"102,001",United States,0,11/30/15,Median Home Values,"$180,300 ",0.053154206
"102,001",United States,0,12/31/15,Median Home Values,"$181,100 ",0.054746651
"102,001",United States,0,1/31/16,Median Home Values,"$181,800 ",0.05513639
"102,001",United States,0,2/29/16,Median Home Values,"$182,600 ",0.055491329
"102,001",United States,0,3/31/16,Median Home Values,"$183,500 ",0.056419113
"102,001",United States,0,4/30/16,Median Home Values,"$184,600 ",0.057879656
"102,001",United States,0,5/31/16,Median Home Values,"$185,800 ",0.058689459
"102,001",United States,0,6/30/16,Median Home Values,"$186,900 ",0.058923513
"102,001",United States,0,7/31/16,Median Home Values,"$188,100 ",0.05971831
"102,001",United States,0,8/31/16,Median Home Values,"$189,300 ",0.062886019
"102,001",United States,0,9/30/16,Median Home Values,"$190,600 ",0.065995526
"102,001",United States,0,10/31/16,Median Home Values,"$191,900 ",0.06908078
"102,001",United States,0,11/30/16,Median Home Values,"$192,900 ",0.069883527
"102,001",United States,0,12/31/16,Median Home Values,"$193,900 ",0.070679183
"102,001",United States,0,1/31/17,Median Home Values,"$195,000 ",0.072607261
"102,001",United States,0,2/28/17,Median Home Values,"$196,200 ",0.074479737
"102,001",United States,0,3/31/17,Median Home Values,"$197,400 ",0.075749319
"102,001",United States,0,4/30/17,Median Home Values,"$198,800 ",0.076923077
"102,001",United States,0,5/31/17,Median Home Values,"$200,200 ",0.077502691
"102,001",United States,0,6/30/17,Median Home Values,"$201,300 ",0.077046549
"102,001",United States,0,7/31/17,Median Home Values,"$202,400 ",0.076023392
"102,001",United States,0,8/31/17,Median Home Values,"$203,800 ",0.076597993
"102,001",United States,0,9/30/17,Median Home Values,"$205,000 ",0.075550892
"102,001",United States,0,10/31/17,Median Home Values,"$205,900 ",0.072954664
"102,001",United States,0,11/30/17,Median Home Values,"$206,900 ",0.072576464
"102,001",United States,0,12/31/17,Median Home Values,"$207,900 ",0.072202166
"102,001",United States,0,1/31/18,Median Home Values,"$209,300 ",0.073333333
"102,001",United States,0,2/28/18,Median Home Values,"$210,900 ",0.074923547
"102,001",United States,0,3/31/18,Median Home Values,"$212,400 ",0.075987842
"102,001",United States,0,4/30/18,Median Home Values,"$213,700 ",0.074949698
"102,001",United States,0,5/31/18,Median Home Values,"$215,100 ",0.074425574
"102,001",United States,0,6/30/18,Median Home Values,"$216,500 ",0.07550919
"102,001",United States,0,7/31/18,Median Home Values,"$217,700 ",0.075592885
"102,001",United States,0,8/31/18,Median Home Values,"$219,000 ",0.074582924
"102,001",United States,0,9/30/18,Median Home Values,"$220,300 ",0.074634146
"102,001",United States,0,10/31/18,Median Home Values,"$221,800 ",0.077221952
"102,001",United States,0,11/30/18,Median Home Values,"$223,300 ",0.079265346
"102,001",United States,0,12/31/18,Median Home Values,"$224,700 ",0.080808081
"102,001",United States,0,1/31/19,Median Home Values,"$225,800 ",0.078834209
"102,001",United States,0,2/28/19,Median Home Values,"$226,700 ",0.074917022
"102,001",United States,0,3/31/19,Median Home Values,"$227,000 ",0.06873823
"102,001",United States,0,4/30/19,Median Home Values,"$226,800 ",0.061300889
"102,001",United States,0,4/30/96,Top Third,"$173,800 ",
"102,001",United States,0,5/31/96,Top Third,"$174,000 ",
"102,001",United States,0,6/30/96,Top Third,"$174,400 ",
"102,001",United States,0,7/31/96,Top Third,"$174,800 ",
"102,001",United States,0,8/31/96,Top Third,"$175,200 ",
"102,001",United States,0,9/30/96,Top Third,"$175,700 ",
"102,001",United States,0,10/31/96,Top Third,"$176,200 ",
"102,001",United States,0,11/30/96,Top Third,"$176,800 ",
"102,001",United States,0,12/31/96,Top Third,"$177,500 ",
"102,001",United States,0,1/31/97,Top Third,"$178,200 ",
"102,001",United States,0,2/28/97,Top Third,"$178,900 ",
"102,001",United States,0,3/31/97,Top Third,"$179,500 ",
"102,001",United States,0,4/30/97,Top Third,"$180,000 ",0.035673188
"102,001",United States,0,5/31/97,Top Third,"$180,600 ",0.037931034
"102,001",United States,0,6/30/97,Top Third,"$181,100 ",0.038417431
"102,001",United States,0,7/31/97,Top Third,"$181,600 ",0.038901602
"102,001",United States,0,8/31/97,Top Third,"$182,000 ",0.038812785
"102,001",United States,0,9/30/97,Top Third,"$182,400 ",0.038133182
"102,001",United States,0,10/31/97,Top Third,"$182,800 ",0.037457435
"102,001",United States,0,11/30/97,Top Third,"$183,200 ",0.036199095
"102,001",United States,0,12/31/97,Top Third,"$183,600 ",0.034366197
"102,001",United States,0,1/31/98,Top Third,"$184,100 ",0.033108866
"102,001",United States,0,2/28/98,Top Third,"$184,400 ",0.030743432
"102,001",United States,0,3/31/98,Top Third,"$184,700 ",0.028969359
"102,001",United States,0,4/30/98,Top Third,"$185,200 ",0.028888889
"102,001",United States,0,5/31/98,Top Third,"$185,800 ",0.028792913
"102,001",United States,0,6/30/98,Top Third,"$186,500 ",0.02981778
"102,001",United States,0,7/31/98,Top Third,"$187,300 ",0.031387665
"102,001",United States,0,8/31/98,Top Third,"$188,300 ",0.034615385
"102,001",United States,0,9/30/98,Top Third,"$189,400 ",0.038377193
"102,001",United States,0,10/31/98,Top Third,"$190,500 ",0.042122538
"102,001",United States,0,11/30/98,Top Third,"$191,500 ",0.045305677
"102,001",United States,0,12/31/98,Top Third,"$192,600 ",0.049019608
"102,001",United States,0,1/31/99,Top Third,"$193,700 ",0.052145573
"102,001",United States,0,2/28/99,Top Third,"$194,600 ",0.055314534
"102,001",United States,0,3/31/99,Top Third,"$195,500 ",0.0584732
"102,001",United States,0,4/30/99,Top Third,"$196,500 ",0.061015119
"102,001",United States,0,5/31/99,Top Third,"$197,600 ",0.06350915
"102,001",United States,0,6/30/99,Top Third,"$198,700 ",0.06541555
"102,001",United States,0,7/31/99,Top Third,"$200,000 ",0.067805659
"102,001",United States,0,8/31/99,Top Third,"$201,300 ",0.069038768
"102,001",United States,0,9/30/99,Top Third,"$202,700 ",0.070221753
"102,001",United States,0,10/31/99,Top Third,"$204,300 ",0.072440945
"102,001",United States,0,11/30/99,Top Third,"$205,800 ",0.074673629
"102,001",United States,0,12/31/99,Top Third,"$207,600 ",0.07788162
"102,001",United States,0,1/31/00,Top Third,"$209,500 ",0.081569437
"102,001",United States,0,2/29/00,Top Third,"$211,300 ",0.085817061
"102,001",United States,0,3/31/00,Top Third,"$212,800 ",0.088491049
"102,001",United States,0,4/30/00,Top Third,"$214,200 ",0.090076336
"102,001",United States,0,5/31/00,Top Third,"$215,500 ",0.090587045
"102,001",United States,0,6/30/00,Top Third,"$216,700 ",0.090588827
"102,001",United States,0,7/31/00,Top Third,"$217,800 ",0.089
"102,001",United States,0,8/31/00,Top Third,"$218,800 ",0.086934923
"102,001",United States,0,9/30/00,Top Third,"$219,900 ",0.084854465
"102,001",United States,0,10/31/00,Top Third,"$221,100 ",0.082232012
"102,001",United States,0,11/30/00,Top Third,"$222,200 ",0.079689018
"102,001",United States,0,12/31/00,Top Third,"$223,500 ",0.076589595
"102,001",United States,0,1/31/01,Top Third,"$224,800 ",0.073031026
"102,001",United States,0,2/28/01,Top Third,"$226,000 ",0.069569333
"102,001",United States,0,3/31/01,Top Third,"$227,300 ",0.068139098
"102,001",United States,0,4/30/01,Top Third,"$228,500 ",0.066760037
"102,001",United States,0,5/31/01,Top Third,"$229,700 ",0.065893271
